,NAME,PRICE,RATING
0,"vivo Y12s (Phantom Black, 32 GB)","₹10,490",4.3
1,"vivo Y12s (Glacier Blue, 32 GB)","₹10,490",4.3
2,"vivo Y20G 2021 (Obsidian Black, 64 GB)","₹13,990",4.4
3,"vivo Y20G 2021 (Purist Blue, 64 GB)","₹13,990",4.4
4,"vivo Y51A (Crystal Symphony, 128 GB)","₹17,990",4.3
5,"vivo Y51A (Titanium Sapphire, 128 GB)","₹17,815",4.3
6,"vivo Y51A (Crystal Symphony, 128 GB)","₹16,990",4.3
7,"vivo Y31 (Racing Black, 128 GB)","₹16,490",4.3
8,"vivo Y11 (Mineral Blue, 32 GB)","₹9,490",4.4
9,"vivo Y73 (Diamond Flare, 128 GB)","₹20,990",4.4
10,"vivo Y20G (Obsidian Black, 128 GB)","₹15,990",4.3
11,"vivo Y20G (Purist Blue, 64 GB)","₹13,990",4.3
12,"vivo Y51A (Titanium Sapphire, 128 GB)","₹16,990",4.3
13,"vivo Y20G (Purist Blue, 128 GB)","₹15,990",4.3
14,"vivo V21e (Dark Pearl, 128 GB)","₹24,990",4.2
15,"vivo Y72 5G (Slate Gray, 128 GB)","₹20,990",4.4
16,"vivo Y1s (Olive Black, 32 GB)","₹9,490",4.3
17,"vivo Y73 (Roman Black, 128 GB)","₹20,990",4.4
18,"vivo V20 SE (Gravity Black, 128 GB)","₹19,770",4.3
19,"vivo Y20i (Nebula Blue, 64 GB)","₹12,575",4.4
20,"vivo Y51 (Crystal Symphony, 128 GB)","₹17,990",4.3
21,"vivo Y20G (Obsidian Black, 64 GB)","₹13,969",4.3
22,"vivo V21 5G (Sunset Dazzle, 256 GB)","₹32,990",4.3
23,"vivo V21 5G (Sunset Dazzle, 128 GB)","₹29,990",4.3
